Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
1998,N_KH_030101_01,,F,,Y,,58.3
2000,N_KH_030101_01,,F,,Y,,54.4
2001,N_KH_030101_01,,F,,Y,,55.1
2002,N_KH_030101_01,,F,,Y,,55.8
2003,N_KH_030101_01,,F,,Y,,56.5
2004,N_KH_030101_01,,F,,Y,,57.2
2005,N_KH_030101_01,,F,,Y,,57.9
2006,N_KH_030101_01,,F,,Y,,58.6
2007,N_KH_030101_01,,F,,Y,,59.3
2008,N_KH_030101_01,,F,,Y,,64.3
2009,N_KH_030101_01,,F,,Y,,65.2
2010,N_KH_030101_01,,F,,Y,,66.1
2011,N_KH_030101_01,,F,,Y,,67.0
2012,N_KH_030101_01,,F,,Y,,67.9
2013,N_KH_030101_01,,F,,Y,,68.8
2014,N_KH_030101_01,,F,,Y,,69.6
2015,N_KH_030101_01,,F,,Y,,70.4
2016,N_KH_030101_01,,F,,Y,,71.2
2017,N_KH_030101_01,,F,,Y,,72.0
2018,N_KH_030101_01,,F,,Y,,72.7
2019,N_KH_030101_01,,F,,Y,,76.8
1998,N_KH_030101_01,,M,,Y,,54.4
2000,N_KH_030101_01,,M,,Y,,60.6
2001,N_KH_030101_01,,M,,Y,,61.3
2002,N_KH_030101_01,,M,,Y,,62.0
2003,N_KH_030101_01,,M,,Y,,62.7
2004,N_KH_030101_01,,M,,Y,,63.4
2005,N_KH_030101_01,,M,,Y,,64.1
2006,N_KH_030101_01,,M,,Y,,64.9
2007,N_KH_030101_01,,M,,Y,,65.6
2008,N_KH_030101_01,,M,,Y,,60.5
2009,N_KH_030101_01,,M,,Y,,61.4
2010,N_KH_030101_01,,M,,Y,,62.3
2011,N_KH_030101_01,,M,,Y,,63.1
2012,N_KH_030101_01,,M,,Y,,64.0
2013,N_KH_030101_01,,M,,Y,,64.8
2014,N_KH_030101_01,,M,,Y,,65.6
2015,N_KH_030101_01,,M,,Y,,66.4
2016,N_KH_030101_01,,M,,Y,,67.1
2017,N_KH_030101_01,,M,,Y,,67.9
2018,N_KH_030101_01,,M,,Y,,68.6
2019,N_KH_030101_01,,M,,Y,,74.3
1998,N_KH_030101_01,,,,Y,,56.3
2000,N_KH_030101_01,,,,Y,,57.5
2001,N_KH_030101_01,,,,Y,,58.2
2002,N_KH_030101_01,,,,Y,,58.9
2003,N_KH_030101_01,,,,Y,,59.6
2004,N_KH_030101_01,,,,Y,,60.3
2005,N_KH_030101_01,,,,Y,,61.0
2006,N_KH_030101_01,,,,Y,,61.7
2007,N_KH_030101_01,,,,Y,,62.4
2008,N_KH_030101_01,,,,Y,,62.4
2009,N_KH_030101_01,,,,Y,,63.8
2010,N_KH_030101_01,,,,Y,,64.5
2011,N_KH_030101_01,,,,Y,,65.2
2012,N_KH_030101_01,,,,Y,,66.7
2013,N_KH_030101_01,,,,Y,,67.6
2014,N_KH_030101_01,,,,Y,,68.3
2015,N_KH_030101_01,,,,Y,,69.1
2016,N_KH_030101_01,,,,Y,,69.9
2017,N_KH_030101_01,,,,Y,,70.6
2018,N_KH_030101_01,,,,Y,,70.6
2019,N_KH_030101_01,,,,Y,,75.5
1998,N_KH_030101_01,,,U,Y,,60.0
2019,N_KH_030101_01,,,U,Y,,75.6
1998,N_KH_030101_01,,,R,Y,,55.8
2019,N_KH_030101_01,,,R,Y,,74.5
2008,N_KH_030101_01,KH01,F,,Y,KH01,67.9
2008,N_KH_030101_01,KH01,M,,Y,KH01,64.0
2008,N_KH_030101_01,KH01,,,Y,KH01,65.9
2008,N_KH_030101_01,KH02,F,,Y,KH02,67.2
2008,N_KH_030101_01,KH02,M,,Y,KH02,63.3
2008,N_KH_030101_01,KH02,,,Y,KH02,65.2
2008,N_KH_030101_01,KH03,F,,Y,KH03,66.7
2008,N_KH_030101_01,KH03,M,,Y,KH03,62.9
2008,N_KH_030101_01,KH03,,,Y,KH03,64.8
2008,N_KH_030101_01,KH04,F,,Y,KH04,68.6
2008,N_KH_030101_01,KH04,M,,Y,KH04,64.7
2008,N_KH_030101_01,KH04,,,Y,KH04,66.6
2008,N_KH_030101_01,KH05,F,,Y,KH05,63.8
2008,N_KH_030101_01,KH05,M,,Y,KH05,60.0
2008,N_KH_030101_01,KH05,,,Y,KH05,61.8
2008,N_KH_030101_01,KH06,F,,Y,KH06,64.7
2008,N_KH_030101_01,KH06,M,,Y,KH06,60.9
2008,N_KH_030101_01,KH06,,,Y,KH06,62.8
2008,N_KH_030101_01,KH07,F,,Y,KH07,62.1
2008,N_KH_030101_01,KH07,M,,Y,KH07,58.5
2008,N_KH_030101_01,KH07,,,Y,KH07,60.2
2008,N_KH_030101_01,KH08,F,,Y,KH08,67.1
2008,N_KH_030101_01,KH08,M,,Y,KH08,63.2
2008,N_KH_030101_01,KH08,,,Y,KH08,65.1
2008,N_KH_030101_01,KH23,F,,Y,KH23,65.0
2008,N_KH_030101_01,KH23,M,,Y,KH23,61.2
2008,N_KH_030101_01,KH23,,,Y,KH23,63.0
2008,N_KH_030101_01,KH09,F,,Y,KH09,60.9
2008,N_KH_030101_01,KH09,M,,Y,KH09,57.3
2008,N_KH_030101_01,KH09,,,Y,KH09,59.1
2008,N_KH_030101_01,KH10,F,,Y,KH10,60.5
2008,N_KH_030101_01,KH10,M,,Y,KH10,57.0
2008,N_KH_030101_01,KH10,,,Y,KH10,58.7
2008,N_KH_030101_01,KH11,F,,Y,KH11,45.5
2008,N_KH_030101_01,KH11,M,,Y,KH11,52.5
2008,N_KH_030101_01,KH11,,,Y,KH11,44.0
2008,N_KH_030101_01,KH22,F,,Y,KH22,60.8
2008,N_KH_030101_01,KH22,M,,Y,KH22,57.2
2008,N_KH_030101_01,KH22,,,Y,KH22,59.0
2008,N_KH_030101_01,KH24,F,,Y,KH24,64.2
2008,N_KH_030101_01,KH24,M,,Y,KH24,60.4
2008,N_KH_030101_01,KH24,,,Y,KH24,62.3
2008,N_KH_030101_01,KH12,F,,Y,KH12,70.8
2008,N_KH_030101_01,KH12,M,,Y,KH12,66.8
2008,N_KH_030101_01,KH12,,,Y,KH12,68.8
2008,N_KH_030101_01,KH18,F,,Y,KH18,54.4
2008,N_KH_030101_01,KH18,M,,Y,KH18,51.3
2008,N_KH_030101_01,KH18,,,Y,KH18,52.8
2008,N_KH_030101_01,KH13,F,,Y,KH13,43.4
2008,N_KH_030101_01,KH13,M,,Y,KH13,40.5
2008,N_KH_030101_01,KH13,,,Y,KH13,41.9
2008,N_KH_030101_01,KH14,F,,Y,KH14,65.7
2008,N_KH_030101_01,KH14,M,,Y,KH14,61.9
2008,N_KH_030101_01,KH14,,,Y,KH14,63.8
2008,N_KH_030101_01,KH15,F,,Y,KH15,65.1
2008,N_KH_030101_01,KH15,M,,Y,KH15,61.4
2008,N_KH_030101_01,KH15,,,Y,KH15,63.2
2008,N_KH_030101_01,KH16,F,,Y,KH16,35.0
2008,N_KH_030101_01,KH16,M,,Y,KH16,32.5
2008,N_KH_030101_01,KH16,,,Y,KH16,33.7
2008,N_KH_030101_01,KH17,F,,Y,KH17,70.0
2008,N_KH_030101_01,KH17,M,,Y,KH17,66.1
2008,N_KH_030101_01,KH17,,,Y,KH17,68.7
2008,N_KH_030101_01,KH19,F,,Y,KH19,54.6
2008,N_KH_030101_01,KH19,M,,Y,KH19,51.5
2008,N_KH_030101_01,KH19,,,Y,KH19,53.0
2008,N_KH_030101_01,KH20,F,,Y,KH20,58.8
2008,N_KH_030101_01,KH20,M,,Y,KH20,55.3
2008,N_KH_030101_01,KH20,,,Y,KH20,57.0
2008,N_KH_030101_01,KH21,F,,Y,KH21,64.3
2008,N_KH_030101_01,KH21,M,,Y,KH21,60.5
2008,N_KH_030101_01,KH21,,,Y,KH21,62.4
2019,N_KH_030101_01,,F,U,Y,,77.7
2019,N_KH_030101_01,,F,R,Y,,76.4
2019,N_KH_030101_01,,M,R,Y,,72.8
2019,N_KH_030101_01,,M,U,Y,,73.5
